# Re=40k
   0.00000000000000      -0.00000000000000       0.00000000000000       0.00000000000000    
  0.204450003802776E-01 -0.881095111370087      0.901356060057878E-02  0.324523337185383E-01
  0.206799991428852E-01 -0.883317708969116      0.900011230260134E-02  0.328804925084114E-01
  0.209149997681379E-01 -0.885502934455872      0.898631848394871E-02  0.333090722560883E-01
  0.211500003933907E-01 -0.887662827968597      0.897229183465242E-02  0.337379351258278E-01
  0.213849991559982E-01 -0.889814019203186      0.895818695425987E-02  0.341668985784054E-01
  0.216199997812510E-01 -0.891896188259125      0.894346926361322E-02  0.345967039465904E-01
  0.218550004065037E-01 -0.893978357315063      0.892875064164400E-02  0.350265055894852E-01
  0.220899991691112E-01 -0.896060526371002      0.891403295099735E-02  0.354563072323799E-01
  0.223249997943640E-01 -0.898083209991455      0.889881327748299E-02  0.358869023621082E-01
  0.225600004196167E-01 -0.900068938732147      0.888328067958355E-02  0.363179892301559E-01
  0.227949991822243E-01 -0.902054667472839      0.886774901300669E-02  0.367490760982037E-01
  0.230299998074770E-01 -0.904040455818176      0.885221734642982E-02  0.371801629662514E-01
  0.232650004327297E-01 -0.906001210212708      0.883648730814457E-02  0.376116298139095E-01
  0.234999991953373E-01 -0.907883465290070      0.882013514637947E-02  0.380442813038826E-01
  0.237349998205900E-01 -0.909765720367432      0.880378298461437E-02  0.384769365191460E-01
  0.239700004458427E-01 -0.911648035049438      0.878743082284927E-02  0.389095917344093E-01
  0.242049992084503E-01 -0.913530290126801      0.877107866108418E-02  0.393422432243824E-01
  0.244399998337030E-01 -0.915381312370300      0.875449553132057E-02  0.397754460573196E-01
  0.246750004589558E-01 -0.917162835597992      0.873740017414093E-02  0.402098670601845E-01
  0.249099992215633E-01 -0.918944418430328      0.872030481696129E-02  0.406442843377590E-01
  0.251449998468161E-01 -0.920726001262665      0.870321039110422E-02  0.410787053406239E-01
  0.253800004720688E-01 -0.922507584095001      0.868611503392458E-02  0.415131300687790E-01
  0.256149992346764E-01 -0.924271881580353      0.866890233010054E-02  0.419478975236416E-01
  0.258499998599291E-01 -0.925962507724762      0.865118484944105E-02  0.423841774463654E-01
  0.260850004851818E-01 -0.927653193473816      0.863346830010414E-02  0.428204536437988E-01
  0.263199992477894E-01 -0.929343819618225      0.861575175076723E-02  0.432567261159420E-01
  0.265549998730421E-01 -0.931034505367279      0.859803427010775E-02  0.436930060386658E-01
  0.267900004982948E-01 -0.932705342769623      0.858019199222326E-02  0.441297516226768E-01
